ALL SKI AREAS WITH U.S.-BASED MULTIMOUNTAIN PASS MEMBERSHIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U.S. SKI AREAS WITH U.S.-BASED MULTIMOUNTAIN PASS MEMBERSHIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEW ENGLAND SKI AREAS WITH U.S.-BASED MULTIMOUNTAIN PASS MEMBERSHIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIDWEST SKI AREAS WITH U.S.-BASED MULTIMOUNTAIN PASS MEMBERSHIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JAPAN SKI AREAS WITH U.S.-BASED MULTIMOUNTAIN PASS MEMBERSHIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANADA SKI AREAS WITH U.S.-BASED MULTIMOUNTAIN PASS MEMBERSHIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUROPE SKI AREAS WITH U.S.-BASED MULTIMOUNTAIN PASS MEMBERSHIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Public, Chairlift-Served U.S.
Ski Areas Without National Pass
Affiliation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Togari Onsen Ski Area,"1,522 ",,,,Indy,,,,,,,,,3,,,,1,,,,,,,,4,,,,,,2,,2026,Japan (Nagano),,,,Titus,"1,200 ",380,150,Independent,Indy,,,,,,,,,,,2,,5,,,,,,,1,8,,,,,,2,,2021,U.S. - East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tsugaike Mountain Resort,"2,966 ",484,512,Nippon Ski Resort Development,Epic,1,,1,,,,,,9,,,1,5,2,,,,,,1,20,5CS,5CS,,,,,,2017,Japan (Nagano),,,,West Mountain,"1,010 ",130,80,Independent,Indy,,,,,,,,,,1,2,,,,,,,,1,1,5,,,,,,2,,2021,U.S. - East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,White Resort Hakuba Sanosaka (Sun Alpina Sanosaka),"1,509 ",99,394,Independent,Epic,,,,,,,,,2,,1,,2,,,,,,,,5,5CS,5CS,,,,,,2024,Japan (Nagano),,,,Whiteface,"3,166 ",299,181,New York State,"MC, Snow Pass",,,1,,,,,,2,3,1,,2,,,,,,,2,11,,,,,,,2,"2025, 2026",U.S. - East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan (Niigata),Arai Snow Resort,"3,120 ",520,826,Independent,Ikon,,,1,,,,,,2,,,,2,,,,,,,,5,,,7,5,,,,2022,Japan (Niigata),,,U.S. - North Carolina,Cataloochee,740 ,50,24,Independent,Indy,,,,,,,,,,2,1,,,,,,,,,2,5,,,,,,2,,2019,U.S. - East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cupid Valley Ski Resort,"1,739 ",77,,Independent,Indy,,,,,,,,,,2,,,1,,,,,,,,3,,,,,,2,,2024,Japan (Niigata),,,,Hatley Pointe,700 ,54,65,Independent,Indy,,,,,,,,,,2,,,1,,,,,,1,2,6,,,,,,2,,2024,U.S. - East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kandatsu Snow Resort,"1,772 ",,433,,Indy,,,,,,,,,,3,,,3,,,,,,,,6,,,,,,2,,2026,Japan (Niigata),,,U.S. - North Dakota,Bottineau Winter Park,200 ,17,70,Independent,Indy,,,,,,,,,,,1,,,,,1,,,2,2,6,,,,,,2,,2023,U.S. - Midwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maiko Snow Resort,"2,165 ",,350,Independent,Indy,,,1,,,,,,4,,,1,4,,2,,,,,,12,,,,,,2,,2024,Japan (Niigata),,,,Frost Fire,338 ,30,35,Independent,Indy,,,,,,,,,,1,,,,,,,,,,1,2,,,,,,2,,2026,U.S. - Midwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Muica Snow Resort,"1,312 ",244,394,Independent,Indy,,,,,,,,,,1,,,3,,,,,,,1,5,,,,,,2,,2024,Japan (Niigata),,,,Huff Hills,382 ,70,55,Independent,Indy,,,,,,,,,,,,,2,,,,,,2,,4,,,,,,2,,2023,U.S. - Midwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Myoko Suginohara Ski Resort,"3,688 ",222,512,Prince Snow Resorts,Ikon,,,1,,,,,,,2,,,2,,,,,,,,5,,,7,5,,,,2025,Japan (Niigata),,,,Thrill Hills,259 ,30,35,Independent,Indy,,,,,,,,,,,,,1,,,,,,1,,2,,,,,,2,,2026,U.S. - Midwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ninox Snow Park,708 ,49,,Independent,Indy,,,,,,,,,,1,,,1,,,,,,,,2,,,,,,2,,2024,Japan (Niigata),,,U.S. - Ohio,Alpine Valley OH,240 ,72,120,Vail Resorts,Epic,,,,,,,,,,1,1,,1,,,,,,1,1,5,U,U,,,,,,2019,U.S. - Midwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yuzawa Nakazato,801 ,326,531,Independent,Indy,,,,,,,,,1,,,,5,,,,,,,1,7,,,,,,2,,2024,Japan (Niigata),,,,Boston Mills,230 ,40,54,Vail Resorts,Epic,,,,,,,,,,1,4,,1,,,,,,,1,7,U,U,,,,,,2019,U.S. - Midwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japan (Yamagata),Zao Onsen,"2,890 ",754,632,Independent,Ikon,2,1,1,,,,,,4,,2,,25,,,,,,,,35,,,7,5,,,,2025,Japan (Yamagata),,,,Brandywine,262 ,40,54,Vail Resorts,Epic,,,,,,,,,,3,2,,,,,,,,2,1,8,U,U,,,,,,2019,U.S. - Midwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Zealand,Coronet Peak,"1,516 ",692,79,Independent,"Ikon, MC",,,,,,,1,1,1,,,,,,,1,,,,4,8,,,"7, S, 26, 27","5, S, 26, 27",,,"2, S, 26","2016, 2018",New Zealand,,,,Mad River,300 ,144,36,Vail Resorts,Epic,,,,,,,,,,1,2,,2,,,,,,3,1,9,U,U,,,,,,2019,U.S. - Midwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mt. Hutt,"2,126 ",902,157,Independent,Ikon,,,,,,1,1,,,,1,,,,,,,,,2,5,,,"7, S, 26, 27","5, S, 26, 27",,,,2018,New Zealand,,,U.S. - Oregon,Cooper Spur,431 ,50,250,Drake Family,Indy,,,,,,,,,,,,,1,,,,,,1,,2,,,,,,2,,2023,U.S. - West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,The Remarkables,"1,093 ",951,146,Independent,"Ikon, MC",,,,,,,3,,,1,,,,,,,,,,3,7,,,"7, S, 26, 27","5, S, 26, 27",,,"2, S, 26","2016, 2018",New Zealand,,,,Hoodoo,"1,035 ",800,350,Independent,Indy,,,,,,,,,,3,1,,1,,,,,,,1,6,,,,,,2B,,2019,U.S. - West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Korea,Mona Yongpyong,"2,339 ",,81,Independent,Ikon,,,1,,,,2,,3,4,2,,2,,,,,,,1,15,,,7,5,,,,2025,Asia,,,,Mount Bachelor,"3,365 ","4,323",387,Powdr,Ikon,,,,,,,1,,7,1,3,,,,,,,,,3,15,,,7,5B,"1-4, B, S",,,2020,U.S. - West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. - Alaska,Alyeska,"2,487 ","1,610",669,Independent,Ikon,1,,,,,,,,2,2,,,,,,,,,,2,7,,,7,5,"1-4, B, S",,,2023,U.S. - West,Public w/Aerial Lifts,,,Mount Hood Meadows,"2,777 ","2,150",439,Drake Family,Indy,,,,,,,1,,5,1,,,3,,,,,,,1,11,,,,,,2B,,2022,U.S. - West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arctic Valley,"1,373 ",320,250,Independent,Indy,,,,,,,,,,,,,2,,,1,,,1,,4,,,,,,2,,2022,U.S. - West,Public w/Aerial Lifts,,,Willamette Pass,"1,563 ",555,375,Mountain Capital Partners,Power,,,,,,,1,,,,4,,,,,,,,,1,6,,,,,,,,,U.S. - West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eaglecrest,"1,401 ",640,350,Independent,Indy,,,,,,,,,,,,,4,,,,,,,,4,,,,,,2,,"2019, 2022",U.S. - West,Public w/Aerial Lifts,,U.S. - Pennsylvania,Bear Creek,510 ,86,30,Independent,Indy,,,,,,,,,,3,1,,,,,,,,,1,5,,,,,,2,,2024,U.S. - East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hilltop,294 ,35,76,Independent,Indy,,,,,,,,,,,1,,,,,,,1,,1,3,,,,,,2,,2025,U.S. - West,Public w/Aerial Lifts,,,Big Boulder,475 ,55,50,Vail Resorts,Epic,,,,,,,,,,2,1,,1,,,,,,,1,5,U,U,,,,,,2019,U.S. - East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Moose Mountain,"1,300 ",750,100,Independent,Indy,,,,,,,,,,,,,,,,,,,1,,1,,,,,,2,,2023,U.S. - West,Public - Surface Lifts Only,,,Blue Knob,"1,072 ",100,120,Independent,Indy,,,,,,,,,,,2,,2,,,,,,,1,5,,,,,,2,,2019,U.S. - East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mount Eyak,800 ,100,350,Independent,Indy,,,,,,,,,,,,,,,1,,,,1,,2,,,,,,2,,2024,U.S. - West,Public w/Aerial Lifts,,,Blue Mountain PA,"1,082 ",171,33,Peregrine Hospitality,Ikon,,,,,,,2,,1,,1,,1,,,,,,,7,12,,,7,5B,"1-4, B, S",,,2023,U.S. - East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Skeetawk,254 ,30,,Independent,Indy,,,,,,,,,,,1,,,,,,,,,1,2,,,,,,2,,2026,U.S. - West,Public w/Aerial Lifts,,,Camelback,827 ,166,50,Peregrine Hospitality,Ikon,,,,,,,1,,1,1,3,,3,,,,,,,4,13,,,7,5B,"1-4, B, S",,,2023,U.S. - East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ski Land,"1,014 ",100,200,Independent,Indy,,,,,,,,,,,,,1,,,,,,,1,2,,,,,,2,,2026,U.S. - West,Public w/Aerial Lifts,,,Hidden Valley PA,470 ,110,140,Vail Resorts,Epic,,,,,,,,,,2,2,,,,,,,,2,2,8,U,U,,,,,,2022,U.S. - East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. - Arizona,Arizona Snowbowl,"2,300 ",777,242,Mountain Capital Partners,Power,,,,,,,1,1,,3,1,,,,,,,,,2,8,,,,,,,,,U.S. - West,Public w/Aerial Lifts,,,Jack Frost,600 ,100,50,Vail Resorts,Epic,,,,,,,,,,4,,,2,,,,,,,,6,U,U,,,,,,2019,U.S. - East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. - California,Bear Mountain (Big Bear),"1,665 ",198,114,Alterra ,Ikon,,,,,,,1,,2,,2,,2,,,,,,,4,11,,,U,U,"1-4, B, S",,,2018,U.S. - West,Public w/Aerial Lifts,,,Laurel,761 ,70,41,Vail Resorts,Epic,,,,,,,,,,1,,,,,,,,,1,,2,U,U,,,,,,2022,U.S. - East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bear Valley,"1,900 ","1,680",352,California Mountain Resort Company,Indy,,,,,,,1,,1,1,2,,2,,,,,,,2,9,,,,,,2B,,2024,U.S. - West,Public w/Aerial Lifts,,,Liberty,620 ,100,31,Vail Resorts,Epic,,,,,,,,,,5,,,,,,,,,,2,7,U,U,,,,,,2019,U.S. - East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,China Peak,"1,679 ","1,200",300,California Mountain Resort Company,Indy,,,,,,,,,,2,4,,,,,1,,,,4,11,,,,,,2,,2020,U.S. - West,Public w/Aerial Lifts,,,Montage,991 ,140,47,Independent,Indy,,,,,,,,,,1,3,,1,,,,,,1,2,8,,,,,,2,,2021,U.S. - East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dodge Ridge,"1,600 ",862,300,California Mountain Resort Company,Indy,,,,,,,,,,1,3,,3,,,1,,,1,2,11,,,,,,2B,,2022,U.S. - West,Public w/Aerial Lifts,,,Roundtop,591 ,103,30,Vail Resorts,Epic,,,,,,,,,,3,2,,,,,,1,,,3,9,U,U,,,,,,2019,U.S. - East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Donner Ski Ranch,800 ,500,389,Independent,Indy,,,,,,,,,,,1,,5,,,,,,,2,8,,,,,,2,,,U.S. - West,Public w/Aerial Lifts,,,Seven Springs,754 ,285,135,Vail Resorts,Epic,,,,,,,2,,,5,3,,,,,,,,1,3,14,U,U,,,,,,2022,U.S. - East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Heavenly,"3,475 ","4,800",251,Vail Resorts,Epic,1,,1,,,,2,,8,1,5,,2,,,,,,2,4,26,U,UB,,,,,,2008,U.S. - West,Public w/Aerial Lifts,,,Shawnee Mountain,700 ,120,50,Independent,Indy,,,,,,,,,1,1,,,4,,,,,,,3,9,,,,,,2B,,2019,U.S. - East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,June Mountain,"2,545 ","1,500",276,Alterra ,Ikon,,,,,,,,,2,,,,4,,,,,,,1,7,,,U,UB,"1-4, B, S",,,2018,U.S. - West,Public w/Aerial Lifts,,,Ski Big Bear,650 ,26,50,Independent,Indy,,,,,,,,,,,,,4,,,,,,,3,7,,,,,,2B,,2023,U.S. - East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kirkwood,"2,000 ","2,300",354,Vail Resorts,Epic,,,,,,,,,2,1,6,,1,,,1,,,,2,13,U,UB,,,,,,2012,U.S. - West,Public w/Aerial Lifts,,,Ski Sawmill,515 ,15,24,Independent,Indy,,,,,,,,,,,1,,1,,,2,,,,,4,,,,,,2,,2022,U.S. - East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
